Coder	Citation			Background Information			Eligibility Criteria							Search Procedures				Screening and Coding Procedures			MA Methods					Bias	Search Results			For each primary study.... Did the authors publish:					Reproducible results		Review size 		Comments	
2	"Sackett, P. R., Kuncel, N. R., Arneson, J. J., Cooper, S. R., & Waters, S. D. (2009). Does socioeconomic status explain the relationship between admissions tests and post-secondary academic performance?. Psychological bulletin, 135(1), 1."	2009	10.1037/a0013978	y	correlation	n	y	y	"Fourth, our analyses all used cross-sectional estimates of SES."	NA	y	y	y	y	y	y	n	n	n	n	y	y	n	n	y	n	n	n	y	NA	y	n	y	y	n	n	17	12		
2	"Shadish, W. R., Navarro, A. M., Matt, G. E., & Phillips, G. (2000). The effects of psychological therapies under clinically representative conditions: a meta-analysis. Psychological bulletin, 126(4), 512."	2000	10.1037//0033-2909.126.4.512	n	experimental	y	y	y	used a comparison condition that might be considered another psychotherapy	y	NA	y	y	n	n	y	n	n	n	y	y	n	y	y	n	y	n	n	y	n	n	n	n	n	n	n	90	abstract		
2	"Konrad, A. M., Ritchie Jr, J. E., Lieb, P., & Corrigall, E. (2000). Sex differences and similarities in job attribute preferences: a meta-analysis. Psychological bulletin, 126(4), 593."	2000	10.1037/0033-2909.126.4.593	n	correlation	n	n	n	did not report	NA	y	y	y	y	y	y	y	n	n	n	y	n	y	y	y	y	n	y	y	NA	y	n	y	y	n	n	40	abstract		
2	"Else-Quest, N. M., Hyde, J. S., Goldsmith, H. H., & Van Hulle, C. A. (2006). Gender differences in temperament: a meta-analysis. Psychological bulletin, 132(1), 33."	2006	10.1037/0033-2909.132.1.33	y	group differences	n	y	NA	did not report	NA	NA	y	y	y	y	y	y	n	n	y	y	n	y	y	y	y	y	y	y	y	y	n	y	y	n	n	205	37		
2	"Bettencourt, B., Talley, A., Benjamin, A. J., & Valentine, J. (2006). Personality and aggressive behavior under provoking and neutral conditions: a meta-analytic review. Psychological bulletin, 132(5), 751."	2006	10.1037/0033-2909.132.5.751	y	correlation	n	n	n	did not report	NA	y	y	y	y	y	y	y	n	n	y	y	y	y	y	y	n	n	n	y	NA	y	n	y	y	n	n	102	765		
2	"Robbins, S. B., Lauver, K., Le, H., Davis, D., Langley, R., & Carlstrom, A. (2004). Do psychosocial and study skill factors predict college outcomes? A meta-analysis. Psychological bulletin, 130(2), 261."	2004	10.1037/0033-2909.130.2.261	n	correlation	n	y	n	did not report	NA	y	y	y	y	y	y	n	n	n	y	y	y	y	n	n	y	n	y	y	NA	y	n	y	y	y	n	109	abstract		
2	"Keel, P. K., & Klump, K. L. (2003). Are eating disorders culture-bound syndromes? Implications for conceptualizing their etiology. Psychological bulletin, 129(5), 747."	2003	10.1037/0033-2909.129.5.747	y	group differences	n	n	NA	did not report	NA	NA	y	n	y	y	y	n	y	n	n	y	y	y	n	n	y	y	y	y	no	n	n	y	NA	n	n	25	750		
2	"Erel, O., Oberman, Y., & Yirmiya, N. (2000). Maternal versus nonmaternal care and seven domains of children's development. Psychological Bulletin, 126(5), 727."	2000	10.1037//0033-2909.126.5.727	y	group differences	n	y	NA	did not report	NA	NA	y	n	y	y	n	n	n	n	n	y	y	y	y	n	y	y	y	n	n	n	n	n	n	n	n	59	abstract		
3	"Spangler, W. D. (1992). Validity of questionnaire and TAT measures of need for achievement: Two meta-analyses. Psychological bulletin, 112(1), 140."	1992	10.1037/0033-2909.112.1.140	n	correlation	n	n 	n		n 	n 	y	n	n	n	n	n	n	n	y	y	y	y	y	y	n	y	y	y	NA	n	n 	n 	n 	n	n	105	abstract		
3	"Voyer, D., Voyer, S., & Bryden, M. P. (1995). Magnitude of sex differences in spatial abilities: a meta-analysis and consideration of critical variables. Psychological bulletin, 117(2), 250."	1995	10.1037/0033-2909.117.2.250	y	group differences	n	n	n		NA	y	y	y	y	n	y	n	n	n	n	y	y	n	y	n	y	n	n	y	n	y	n	y	y	n	n	286	"gave number of effect sizes, not N - may be able to get this information from all the included tables, but would have to map the tables to identify unique studies"	"authors reported the number of effect sizes available for their analysis, but not number of studies coded; synthesis model Hedges & Becker, 1986"	resolved
3	"Mathieu, J. E., & Zajac, D. M. (1990). A review and meta-analysis of the antecedents, correlates, and consequences of organizational commitment. Psychological bulletin, 108(2), 171."	1990	10.1037/0033-2909.108.2.171	n	correlation	n	y	y	"""""No restrictions were placed on the inclusion of studies other than that they must have measured and analzyed OC at the individual level of analysis"" (p. 172)"	NA	y	y	y	y	n	y	n	n	n	y	y	y	y	n	n	n	n		y	NA	n	n	n	n	n	n	124	"this is the number eligible for the meta-analysis, although they state they found ""over 200 studies"""	"synthesis: Hunter 1982, also SD was computed using formulas in chap. 3 of Hunter"	resolved
3	"A - Feingold, A. (1992). Good-looking people are not what we think. Psychological bulletin, 111(2), 304."	1992	10.1037/0033-2909.111.2.304	n	experimental	n	y	y		y	y	n	y	y	y	n	y	n	n	n	y	y	y	y	n	n	n	y	y	n	y	n	y	y	n	n	30		"synthesis following Hedges & Olkin, 1985; Rosenthal, 1984; Specifically states that ""Only 31% of the 212 effect sizes were calculated from reported information in journal articles; most of the effect sizes were obtained from convention papers, dissertations, and unpublished data (provided by investigators) from published studies"", although this wasn't explicitly mentioned in their inclusion/exclusion criteria."	resolved
3	"B - Feingold, A. (1992). Good-looking people are not what we think. Psychological bulletin, 111(2), 304."	1992	10.1037/0033-2909.111.2.304	n	correlation	n	y	n		n	y	y	y	y	y	n	y	n	n	n	y	y	y	y	y	n	n		y	NA	y	n	y	y	n	n	93		"looked at gender differences between correlations, assume this ""counts"" for moderator analysis even though they just did subgroup analysis"	
3	"C - Feingold, A. (1992). Good-looking people are not what we think. Psychological bulletin, 111(2), 304."	1992	10.1037/0033-2909.111.2.304	n	correlation	n	y	n		y	y	y	y	y	y	n	y	n	n	n	y	n	n	n	n	n	n		y	NA	y	n	y	y	n	n	123	appears to be a combination of study b and c (p. 323) but clear if all were used	"looked at gender differences between correlations, assume this ""counts"" for moderator analysis even though they just did subgroup analysis"	
3	"Garb, H. N., & Schramke, C. J. (1996). Judgment research and neuropsychological assessment: A narrative review and meta-analyses. Psychological Bulletin, 120(1), 140."	1996	10.1037/0033-2909.120.1.140	n	correlation	n	y	y		NA	n	y	n	y	y	y	y	n	n	n	n	n	n	n	n	n	n	n	y	NA	n	n	n	NA	n	n	12	"had to look at their analysis and map the citations they provided: Boyar & Tsushima, 1975; 
Brown et al., 1989;
Faust, Guilmette,etal., 1988
Filskov&Goldstein, 1974
Gaudette, 1992;
Heatonet al., 1981; 
R. L. Kane et al., 1981, 1987; 
Reitan, 1964
Russell, Neuringer,& Goldstein, 1970; 
Schreiber, Goldman, Kleinman, Goldfader,& Snow, 1976; 
Swiercinsky & Leigh, 1979; 
Wedding, 1983"	"synthesis is described as ""aggregate"" analysis by Rosenthal 1991"	resolved
3	"Byrnes, J. P., Miller, D. C., & Schafer, W. D. (1999). Gender differences in risk taking: A meta-analysis. Psychological bulletin, 125(3), 367."	1999	10.1037/0033-2909.125.3.367	n	group differences	n	n	n		NA	n	y	n	y	y	y	n	n	n	n	y	y	y	n	y	n	y	y	y	n	y	n	y	y	n	n	150	abstract		
3	"A - Collins, N. L., & Miller, L. C. (1994). Self-disclosure and liking: a meta-analytic review. Psychological bulletin, 116(3), 457."	1994	10.1037/0033-2909.116.3.457	y	experimental	n	y	y		y	NA	y	y	y	y	y	n	n	n	y	y	n	y	y	y	n	n	n	y	n	n	n	n	n	n	n	95		"did discuss how they handled calculating effect sizes from studies who reported things other than means/sd, but I did not consider this enough for a ""yes"" in ""data handling"""	
3	"B - Collins, N. L., & Miller, L. C. (1994). Self-disclosure and liking: a meta-analytic review. Psychological bulletin, 116(3), 457."	1994	10.1037/0033-2909.116.3.457	y	correlation	n	y	y		NA	y	y	y	y	y	y	n	n	n	y	y	n	y	y	y	n	n		y	NA	n	n	n	n	n	n	22	"some overlap with study A, but not complete overlap (appendix has studies for each study)"	"did discuss how they handled calculating effect sizes from studies who reported things other than means/sd, but I did not consider this enough for a ""yes"" in ""data handling"""	
3	"McCartney, K., Harris, M. J., & Bernieri, F. (1990). Growing up and growing apart: A developmental meta-analysis of twin studies. Psychological bulletin, 107(2), 226."	1990	10.1037/0033-2909.107.2.226	y	group differences	n	y	y		NA	y	y	n	y	y	y	n	n	n	y	y	y	y	n	y	n	y	y	y	n	n	n	n	n	n	n	103		"Thought this was correlation but on closer inspection, correlation of group differences (so only one row)"	
3	"A - Robinson, L. A., Berman, J. S., & Neimeyer, R. A. (1990). Psychotherapy for the treatment of depression: a comprehensive review of controlled outcome research. Psychological bulletin, 108(1), 30."	1990	10.1037/0033-2909.108.1.30	y	experimental	n	y	y		y	NA	n	n	y	n	y	n	n	n	n	y	y	y	y	y	y	n	n	y	n	n	n	n	n	n	n	58	new search for these	"This is part of a dissertation which appears available - note for the paper, but not go back to this"	resolved
3	"B - Robinson, L. A., Berman, J. S., & Neimeyer, R. A. (1990). Psychotherapy for the treatment of depression: a comprehensive review of controlled outcome research. Psychological bulletin, 108(1), 30."	1990	10.1037/0033-2909.108.1.30	y	experimental	n	y	y		y	NA	n	n	n	n	n	n	n	n	n	y	y	y	y	y	n	n	n	y	n	n	n	n	n	n	n	15	new search for these	"Looked at differences by categories (subgroups), but did not put this information for each individual study. This is part of a dissertation which appears available - note for the paper, but not go back to this"	resolved
3	"C - Robinson, L. A., Berman, J. S., & Neimeyer, R. A. (1990). Psychotherapy for the treatment of depression: a comprehensive review of controlled outcome research. Psychological bulletin, 108(1), 30."	1990	10.1037/0033-2909.108.1.30	y	experimental	n	n	n		n	NA	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	n	39	new search for these	"Looked at differences by categories (subgroups), but did not put this information for each individual study.This is part of a dissertation which appears available - note for the paper, but not go back to this"	resolved
3	"Hardaway, R. A. (1990). Subliminally activated symbiotic fantasies: Facts and artifacts. Psychological bulletin, 107(2), 177."	1990	10.1037/0033-2909.107.2.177	n	experimental	n	n	y		y	NA	n	n	y	n	y	n	n	n	n	y	y	y	y	y	y	y	y	y	n	n	n	n	n	n	n	56			
3	"Stanton, M. D., & Shadish, W. R. (1997). Outcome, attrition, and family–couples treatment for drug abuse: A meta-analysis and review of the controlled, comparative studies. Psychological bulletin, 122(2), 170."	1997	10.1037/0033-2909.122.2.170	n	experimental	n	y	y		y	n	y	y	y	n	n	y	n	n	n	y	n	y	y	y	n	n	y	y	n	y	n	y	y	n	n	15		"synthesis model is Hedges & Olkin, 1985, Q tests; looks like all moderators are reported in the table details, although you'd have to go into the text to recreate the categories; assessed difference between published and unpublished effect sizes; they also tell us that they included a number of unpublished studies due to Shadish's work in creating a database that includes these"	resolved
3	"Miller, T. Q., Turner, C. W., Tindale, R. S., Posavac, E. J., & Dugoni, B. L. (1991). Reasons for the trend toward null findings in research on Type A behavior. Psychological Bulletin, 110(3), 469."	1991	10.1037/0033-2909.110.3.469	y	group differences	n	y	y		NA	y	y	y	n	n	n	n	n	n	n	y	y	y	y	y	n	n		y	n	n	n	n	n	n	n	61		used correlations to look at group differences	resolved
3	"Kling, K. C., Hyde, J. S., Showers, C. J., & Buswell, B. N. (1999). Gender differences in self-esteem: a meta-analysis. Psychological bulletin, 125(4), 470."	1999	10.1037/0033-2909.125.4.470	n	group differences	n	y	y		NA	y	y	n	y	y	y	y	n	n	y	y	y	y	y	y	y	y		y	n	y	n	y	n 	n	n	184		"synthesis model is Hedges & Becker, 1986; discussed coding only for for effect size calculation, not how other items were coded; moderators missing - missing ethnicity, source of data, centrality of gender (although source of data could probably be figured out from the reference list; they did reach out to authors for data missing from included reports, but later mention that some of these authors also provided them with additional data sources; Separate Analysis 1 and Analysis II where II is only using national datasets and nothing from the literature seach"	resolved
3	"Mullen, B., & Copper, C. (1994). The relation between group cohesiveness and performance: An integration. Psychological bulletin, 115(2), 210."	1994	10.1037/0033-2909.115.2.210	y	correlation	n	y	y		NA	y	y	n	n	y	n	y	n	n	y	y	n	y	n	n	y	n		y	NA	y	n	y	y	n	n	49		"discussed coding but only for four variables, it is unclear how they managed to code other variables"	resolved
3	"Nicholson, R. A., & Kugler, K. E. (1991). Competent and incompetent criminal defendants: a quantitative review of comparative research. Psychological bulletin, 109(3), 355."	1991	10.1037/0033-2909.109.3.355	n	group differences	n	n	n		NA	n	y	n	y	n	y	n	n	n	n	y	y	y	y	y	n	n		y	n	n	n	n	n	n	n	30	p. 357	used correlations to look at group differences	
3	"Kluger, A. N., & DeNisi, A. (1996). The effects of feedback interventions on performance: A historical review, a meta-analysis, and a preliminary feedback intervention theory. Psychological bulletin, 119(2), 254."	1996	10.1037/0033-2909.119.2.254	y	experimental	n	n	y		y	NA	y	y	y	y	y	n	n	n	y	y	y	y	n	n	n	n		y	n	n	n	n	n	n	n	131	p. 258		
3	"See, J. E., Howe, S. R., Warm, J. S., & Dember, W. N. (1995). Meta-analysis of the sensitivity decrement in vigilance. Psychological Bulletin, 117(2), 230."	1995	10.1037/0033-2909.117.2.230	n	experimental	n	y	n		n 	NA	y	y	y	y	y	n	n	n	y	y	y	n	y	y	n	n		y	n	y	n	y	y	n	n	42	abstract		
3	"Cohn, L. D. (1991). Sex differences in the course of personality development: A meta-analysis. Psychological bulletin, 109(2), 252."	1991	10.1037/0033-2909.109.2.252	y	group differences	n	y	n		NA	y	y	y	y	y	y	y	n	n	n	y	y	y	y	y	n	y	y	y	n	y	n	y	n	n	n	65	abstract	"did not provide ""eligibility criteria"" as such, but gave reasons and numbers of articles excluded for each reason in the text; appeared to exclude manuscripts if they used the same sample (ensured independence in this way); missing ""item sum"" for sensitivity/subgroup meta-analysis"	
3	"Kail, R. (1991). Developmental change in speed of processing during childhood and adolescence. Psychological bulletin, 109(3), 490."	1991	10.1037/0033-2909.109.3.490	y	group differences	n	y	n		y	NA	y	n	y	n	y	n	n	n	n	n	n	n	y	n	n	n		y	n	n	n	n	NA	n	n	72	abstract		
3	"Bushman, B. J., & Cooper, H. M. (1990). Effects of alcohol on human aggression: An intergrative research review. Psychological bulletin, 107(3), 341."	1990	10.1037/0033-2909.107.3.341	n	correlation	n	y	y		NA	y	y	y	y	y	y	y	n	n	y	y	n	y	y	y	n	n	y	y	NA	n	n	n	n	n	n	30	abstract		
3	"Rhodes, N., & Wood, W. (1992). Self-esteem and intelligence affect influenceability: The mediating role of message reception. Psychological Bulletin, 111(1), 156."	1992	10.1037/0033-2909.111.1.156	n	group differences	n	n	n		y	NA	y	n	y	y	y	n	n	n	n	y	y	n	n 	n	n	n		y	n	n	n	y	n	n	n	57	p. 159		
3	"Deci, E. L., Koestner, R., & Ryan, R. M. (1999). A meta-analytic review of experiments examining the effects of extrinsic rewards on intrinsic motivation. Psychological bulletin, 125(6), 627."	1999	10.1037/0033-2909.125.6.627	y	experimental	n	n	y		NA	y	y	y	y	y	y	n	n	n	y	y	y	y	y	y	y	n	n	y	n	y	n	y	y	n	n	128	abstract	"synthesis model Hedges & Olkin, 1985"	
3	"Miller, T. Q., Smith, T. W., Turner, C. W., Guijarro, M. L., & Hallet, A. J. (1996). Meta-analytic review of research on hostility and physical health. Psychological bulletin, 119(2), 322."	1996	10.1037/0033-2909.119.2.322	y	correlation	n	n	n		NA	y	y	y	n	n	y	n	n	n	n	y	y	y	n	y	y	n		y	NA	y	n	y	y	n	n	45	abstract		
3	"Raz, S., & Raz, N. (1990). Structural brain abnormalities in the major psychoses: A quantitative review of the evidence from computerized imaging. Psychological Bulletin, 108(1), 93."	1990	10.1037/0033-2909.108.1.93	y	group differences	n	y	n		y	NA	y	y	n	n	n	n	n	n	n	y	y	y	n	n	y	n		y	n	n	n	n	n	n	n	93	p. 94	According to footnote (p. 94) detailed information is available from the authors on request	resolved
3	"Eagly, A. H., Ashmore, R. D., Makhijani, M. G., & Longo, L. C. (1991). What is beautiful is good, but…: A meta-analytic review of research on the physical attractiveness stereotype. Psychological bulletin, 110(1), 109."	1991	10.1037/0033-2909.110.1.109	y	experimental	n	y	n		na	y	y	n	y	y	y	n	n	n	y	y	y	y	y	y	y	n	y	y	n	n	n	n	n	n	n	76	p. 115	"""A table showing the effect sizes and study characteristics for each study included in the meta-analysis is available from Alice H. Eagly or Richard Ashmore""; assessed difference between published and unpublished effect sizes"	resolved
3	"Stajkovic, A. D., & Luthans, F. (1998). Self-efficacy and work-related performance: A meta-analysis. Psychological bulletin, 124(2), 240."	1998	10.1037/0033-2909.124.2.240	n	correlation	n	y	n		NA	y	y	y	y	y	y	n	n	n	y	y	y	y	y	y	n	y		y	NA	n	n	n	n	n	n	114	abstract	coding process - just discussed for moderators (p. 248)	resolved
3	"Erel, O., & Burman, B. (1995). Interrelatedness of marital relations and parent-child relations: A meta-analytic review. Psychological bulletin, 118(1), 108."	1995	10.1037/0033-2909.118.1.108	y	correlation	n	n	n		na	n	n	y	y	y	n	n	n	n	y	n	y	y	n	n	y	n	y	y	NA	n	n	y	y	n	n	68	abstract	assessed differences between journal articles and dissertation studies	resolved
3	"Roese, N. J., & Jamieson, D. W. (1993). Twenty years of bogus pipeline research: A critical review and meta-analysis. Psychological bulletin, 114(2), 363."	1993	10.1037/0033-2909.114.2.363	y	experimental	n	n	y		y	NA	y	y	y	n	n	n	n	n	y	y	y	y	y	y	y	y		y	n	y	n	y	y	n	n	31	p. 369	"possible predictors of effect size were identified a priori, then assessed for their predictive power by fitting both categorical and continuous models to the study effect sizes (Hedges & Olkin, 1985); also assessed Q for homogeneity (H&O, 1985)"	resolved
3	"Eagly, A. H., Makhijani, M. G., & Klonsky, B. G. (1992). Gender and the evaluation of leaders: A meta-analysis. Psychological bulletin, 111(1), 3."	1992	10.1037/0033-2909.111.1.3	y	experimental	n	y	n		na	y	y	y	y	n	y	n	n	n	y	y	y	y	y	y	n	n	y	y	n	n	n	n	n	n	n	61	p. 8	"""table showing the effect sizes and study characteristics for each study included in the meta-analysis is available from Alice H. Eagly.""; they provide some search terms but list does not appear to be exhaustive because they use phrases like ""such as"" and ""e.g.,""; although have a code for publication type so it appears they did not exclude for this reason"	resolved
3	"Eagly, A. H., Karau, S. J., & Makhijani, M. G. (1995). Gender and the effectiveness of leaders: a meta-analysis. Psychological bulletin, 117(1), 125."	1995	10.1037/0033-2909.117.1.125	y	group differences	n	y	n 		na	y	y	y	y	y	y	n	n	n	y	y	y	y	y	y	n	n	y	y	n	n	n	n	n	n	n	96	p. 131	"rated ""no"" - this is the only design criteria provided: the sex of the leader and the sex of the subordinates were not completely confounded (as they would be in a study that compared female and male leaders of single-sex groups). ""A table showing the effect sizes and study characteristics for each study included in the meta-analysis is available from Alice H. Eagly.""; have a code for publication type so it appears they did not exclude for this reason"	resolved
3	"Ito, T. A., Miller, N., & Pollock, V. E. (1996). Alcohol and aggression: A meta-analysis on the moderating effects of inhibitory cues, triggering events, and self-focused attention. Psychological Bulletin, 120(1), 60."	1996	10.1037/0033-2909.120.1.60	y	experimental	n	n	y		y	NA	y	y	y	y	y	n	n	n	y	y	y	y	y	y	y	n		y	n	n	n	n	n	n	n	49	abstract	"We used regression analyses to assess the effect of the continuously distributed moderator variables (anxiety and self-focused attention) on effect size. The specific regression analyses used were designed for metaanalytic data (Hedges & Olkin, 1985) and provide a test of model specification, Q,, in which a significant value indicates that the model is not sufficient to account for heterogeneity among the effect sizes."	resolved
3	"Sheeran, P., Abraham, C., & Orbell, S. (1999). Psychosocial correlates of heterosexual condom use: a meta-analysis. Psychological bulletin, 125(1), 90."	1999	10.1037/0033-2909.125.1.90	n	correlation	n	n	n		NA	n	y	y	y	y	y	y	n	n	y	y	y	y	n	n	n	n		y	NA	y	n	y	y	n	n	121	abstract		
3	"Polich, J., Pollock, V. E., & Bloom, F. E. (1994). Meta-analysis of P300 amplitude from males at risk for alcoholism. Psychological Bulletin, 115(1), 55."	1994	10.1037/0033-2909.115.1.55	y	group differences	n	y	n		y	NA	y	y	n	y	n	y	n	n	n	y	y	y	n	n	n	n		y	n	y	n	y	y	n	n	30	p. 59	"looks like the gender inclusion/exclusion was a posthoc decision (does that matter?) - Hence, because few ERP data from FHP women were available, the present meta-analysis focused exclusively on the P3 "	resolved
3	"Bond, R., & Smith, P. B. (1996). Culture and conformity: A meta-analysis of studies using Asch's (1952b, 1956) line judgment task. Psychological bulletin, 119(1), 111."	1996	10.1037/0033-2909.119.1.111	n	correlation	n	y	y		y	NA	n	n	y	y	y	n	n	n	y	y	y	n	y	y	n	n	y	y	NA	y	n	y	n	n	n	133	abstract	"On page 116 they discuss the problem of non-independence but it is not clear what they did in their review to address this; did not provide information on some moderators including student vs. other status, cultural values (but reported other moderator values)"	resolved
3	"Postmes, T., & Spears, R. (1998). Deindividuation and antinormative behavior: A meta-analysis. Psychological bulletin, 123(3), 238."	1998	10.1037/0033-2909.123.3.238	n	experimental	n	n	y		y	NA	y	y	y	y	n	y	n	n	y	y	y	y	y	y	y	n		y	n	y	n	y	y	n	n	60	abstract	"they use correlation coefficients, but the included studies are experimental manipulations; appendix for study-level info; they stated the years articles were available from databases but they also mentioned looking earlier and we don't know when their search ended (rated ""no"")"	resolved
3	"Amato, P. R., & Keith, B. (1991). Parental divorce and the well-being of children: a meta-analysis. Psychological bulletin, 110(1), 26."	1991	10.1037/0033-2909.110.1.26	y	group differences	n	y	n		NA	y	y	n	y	n	n	n	n	n	y	y	y	y	y	y	y	n	y	y	n	n	n	n	n	n	n	92	abstract	"synthesis model Hedges & Olkin, 1985; All data is presented in aggregate but a footnote is provided that states all data is available from the authors on request"	resolved
3	"Eagly, A. H., Chen, S., Chaiken, S., & Shaw-Barnes, K. (1999). The impact of attitudes on memory: An affair to remember. Psychological bulletin, 125(1), 64."	1999	10.1037/0033-2909.125.1.64	y	experimental	n	n	y   		y	NA	y	y	y	y	y	n	n	n	y	y	y	y	y	y	y	n	y	y	n	n	n	n	n	n	n	70	p. 68	"""A table showing the effect sizes and study characteristics for each study included in the meta-analysis is available from Alice H. Eagly""; assessed differences between journal articles versus dissertations/unpublished documents; have a code for publication type so it appears they did not exclude for this reason"	resolved
3	"Okun, M. A., Olding, R. W., & Cohn, C. M. (1990). A meta-analysis of subjective well-being interventions among elders. Psychological Bulletin, 108(2), 257."	1990	10.1037/0033-2909.108.2.257	n	experimental	n	y	y    		NA	NA	y	y	y 	y	y	n	n	y	y	y	n	n	n	n	n	y		y	n	n	n	y	n	n	n	31	p. 258	"Looked at differences by categories (subgroups), but did not put this information for each individual study.; did not the list of 30 journals they searched in their final search; ""Studies identified as using treatment groups were read by Okun and Olding to determine whether they met the criteria for inclusion in the present meta-analysis (see below). Similarly, all studies with treatment groups located in the third search were reviewed by Okun and Olding to ascertain their appropriateness."" "	resolved
3	"Jorgensen, R. S., Johnson, B. T., Kolodziej, M. E., & Schreer, G. E. (1996). Elevated blood pressure and personality: A meta-analytic review. Psychological bulletin, 120(2), 293."	1996	10.1037/0033-2909.120.2.293	y	correlation	n	y	n		NA	y	y	y	y	n	y	n	n	n	y	y	y	y	y	y	n	n		y	NA	n	n	y	y	n	n	83	p. 300		
3	"Knight, G. P., Fabes, R. A., & Higgins, D. A. (1996). Concerns about drawing causal inferences from meta-analyses: An example in the study of gender differences in aggression. Psychological Bulletin, 119(3), 410."	1996	10.1037/0033-2909.119.3.410	y	group differences	n	y	y	y	y	y	y	y	NA	NA	NA	NA	NA	NA	n	y	y	n	y	y	n	NA		y	n	n	n	n	n	n	n	82	p. 413	"States in footnote 3 that a complete list of studies and effect sizes are available on request; uses the exact list of studies from a previous review - this is a reanalysis of Hyde's 1984 citation list so many of the inclusion criteria are ""yes"""	resolved
3	"Lyness, S. A. (1993). Predictors of differences between Type A and B individuals in heart rate and blood pressure reactivity. Psychological Bulletin, 114(2), 266."	1993	10.1037/0033-2909.114.2.266	y	group differences	n	n	n		y	NA	y	y	y	y	y	n	n	n	y	y	y	y	y	y	y	n		y	n	y	n	y	y	n	n	99	p. 268	"synthesis is Hedges & Olkin, 1985"	resolved
3	"Thompson, L., & Hrebec, D. (1996). Lose–lose agreements in interdependent decision making. Psychological bulletin, 120(3), 396."	1996	10.1037/0033-2909.120.3.396	y	experimental	n	y	n		y	NA	y	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n		n	n	y	y	n	n	n	n	32	abstract		
3	"Kasof, J. (1993). Sex bias in the naming of stimulus persons. Psychological Bulletin, 113(1), 140."	1993	10.1037/0033-2909.113.1.140	n	correlation	n	n	n		NA	y	n	n	y	y	n	n	n	n	n	n	n	n	y	y	n	n		y	NA	n	n	n	n	n	n	230	abstract	"synthesis via described as ""weighted regression analysis"" and cite Hedges & Olkin (1985) ; Two studies, study 1 and study 2 - study 1 has the search information but it does not look like a meta-analysis was conducted and study 2 has the meta-analysis of a subset of studies from study 1; it is very hard to figure out what they did although we do know it is a correlation but they seemed to take directly from someone else's previous review"	resolved
3	"Newcomb, A. F., Bukowski, W. M., & Pattee, L. (1993). Children's peer relations: a meta-analytic review of popular, rejected, neglected, controversial, and average sociometric status. Psychological bulletin, 113(1), 99."	1993	10.1037/0033-2909.113.1.99	y	group differences	n	y	n	"studies had to have ""peer ratings"" (but this appears to be an outcome criteria) and ""a comparison group of children with average sociometric status was included"""	y	NA	y	y	y	n	n	n	n	n	y	y	y	y	y	n	n	n		y	n	y	n	y	y	n	n	36	p. 104		
3	"Karney, B. R., & Bradbury, T. N. (1995). The longitudinal course of marital quality and stability: A review of theory, methods, and research. Psychological bulletin, 118(1), 3."	1995	10.1037/0033-2909.118.1.3	y	correlation	n	n	y		NA	y	y	n	y	y	n	n	n	n	n	y	y	n	n	n	n	n		y	NA	y	n	n	NA	n	n	115	abstract	"synthesis via ""mean of the z's"""	resolved
3	"Burt, D. B., Zembar, M. J., & Niederehe, G. (1995). Depression and memory impairment: a meta-analysis of the association, its pattern, and specificity. Psychological bulletin, 117(2), 285."	1995	10.1037/0033-2909.117.2.285	y	correlation	n	y	y		NA	y	y	n	y	y	y	y	n	n	y	y	y	y	y	n	y	y		y	NA	n	n	n	n	n	n	147	abstract	State that a table of data for each included study is available from the first author if copying costs are provided	resolved
3	"Wood, W., Wong, F. Y., & Chachere, J. G. (1991). Effects of media violence on viewers' aggression in unconstrained social interaction. Psychological bulletin, 109(3), 371."	1991	10.1037/0033-2909.109.3.371	y	experimental	n	n	y		y	NA	y	y	y	y	y	n	n	n	n	y	y	n	y	y	y	n		y	n	y	n	y	n	n	n	23	p. 374	"synthesis model is Hedges & Olkin, 1985; moderators for each study - no - I think duration is missing"	resolved
3	"Wampold, B. E., Mondin, G. W., Moody, M., Stich, F., Benson, K., & Ahn, H. N. (1997). A meta-analysis of outcome studies comparing bona fide psychotherapies: Empiricially,"" all must have prizes."". Psychological bulletin, 122(3), 203."	1997	10.1037/0033-2909.122.3.203	y	experimental	n	y	n	excluded dismantling studies as well as parametric (looking at dosage) - I think this is different from what they provide in the intervention specification but is it enough?	y	NA	n	y	y	n	y	n	n	y	y	y	y	y	y	y	n	n		n	n	n	n	n	n	n	n	.	277 effects but no indication of how many studies were included		
3	"Rothbaum, F., & Weisz, J. R. (1994). Parental caregiving and child externalizing behavior in nonclinical samples: A meta-analysis. Psychological bulletin, 116(1), 55."	1994	10.1037/0033-2909.116.1.55	y	correlation	n	y	y		NA	y	y	n	y	y	y	n	n	n	y	y	y	y	n	y	n	n		y	NA	n	n	n	n	n	n	47	abstract	the coding of child and caregiving variables was described but there are a number of other variables coded and no information about coding was provided in the report	resolved
3	"Koelega, H. S. (1992). Extraversion and vigilance performance: 30 years of inconsistencies. Psychological bulletin, 112(2), 239."	1992	10.1037/0033-2909.112.2.239	n	group differences	n	n	n	n	n 	NA	n	n	y	n	y	n	n	n	n	y	y	n	y	y	y	n		y	n	y	y	n	y	n	n	53	p. 241		
